번호,구분,출처,빈칸 문장,정답,구절 전문,설교 제목,쉬운 풀이
1,이벤트 출제,시편 119편 105절,주의 ＿＿＿은 내 발에 등이요 내 길에 빛이니이다,말씀,주의 말씀은 내 발에 등이요 내 길에 빛이니이다,"오직 성경, 말씀이 답이다!","하나님의 말씀이 내가 걸어갈 때 발밑을 비춰 주는 등불 같다는 고백이에요. 여기서 '등'은 손바닥에 올려놓는 작은 등으로, 발 앞 한 걸음만 비춰 넘어지지 않게 해 줘요. 말씀은 먼 미래를 점치는 도구가 아니라 지금 이 순간 어디로 갈지 알려 주는 빛이에요. 그 한 걸음 한 걸음이 모여"
2,이벤트 출제,창세기 12장 2절,내가 네 이름을 ＿＿＿ 하리니 너는 복이 될지라,창대하게,내가 네 이름을 창대하게 하리니 너는 복이 될지라,새해 복이 되세요,"하나님이 아브라함에게 하신 약속이에요. ""내가 네 이름을 창대하게 하리니""는 '내가 너를 크고 귀한 사람으로 만들어 주겠다'는 뜻이에요. 여기서 '창대하게'는 '아주 크고 빛나게 해 준다'는 말이에요. 그리고 ""너는 복이 될지라""는 복을 받기만 하는 게 아니라, 나로 인해 다른 사람도 "
3,이벤트 출제,여호수아 1장 8절,이 ＿＿＿을 네 입에서 떠나지 말게 하며 다 지켜 행하라 그리하면 네가 형통하리라,율법책,이 율법책을 네 입에서 떠나지 말게 하며 다 지켜 행하라 그리하면 네가 형통하리라,이 율법책을 네 입에서 떠나지 말게 하라,"하나님께서 여호수아에게 하신 이 말씀은, 하나님의 말씀을 늘 입으로 소리 내어 되뇌며 그대로 살라는 뜻이에요. 여기서 '율법책'은 하나님이 주신 말씀을, '형통'은 하나님이 함께하셔서 잘되게 하신다는 뜻이에요. 큰 도전 앞에서 두려워하던 여호수아처럼, 우리도 말씀을 붙들고 순종하며 한 "
4,이벤트 출제,출애굽기 13장 22절,낮에는 ＿＿＿ 밤에는 불기둥이 백성 앞에서 떠나지 아니하니라,구름기둥,낮에는 구름기둥 밤에는 불기둥이 백성 앞에서 떠나지 아니하니라,믿고 가는 길,"이스라엘 백성이 광야를 걸어갈 때, 하나님은 낮에는 구름기둥으로 뜨거운 햇빛을 가려 주시고, 밤에는 불기둥으로 추위를 녹여 주셨어요. 여기서 '떠나지 아니하니라'는 하나님이 백성 앞을 한 번도 비우지 않으셨다는 뜻이에요. 우리는 하나님을 떠날 때가 있어도, 하나님은 우리를 절대 떠나지 "
5,이벤트 출제,레위기 20장 26절,내가 또 너희를 나의 ＿＿＿로 삼으려고 너희를 만민 중에서 구별하였음이니라,소유,내가 또 너희를 나의 소유로 삼으려고 너희를 만민 중에서 구별하였음이니라,거룩하게 삽시다,"하나님께서 ""너는 내 것이야""라고 말씀하시는 구절이에요. 여기서 '소유'는 하나님이 우리를 자기 사람으로 아끼고 끝까지 책임져 주신다는 뜻이에요. '구별하였다'는 말은 많은 사람들 가운데서 나를 특별히 골라 세우셨다는 뜻이고요. 그러니 거룩하게 사는 건 억지로 잘 보이려는 게 아니라, "
6,이벤트 출제,사도행전 16장 31절,주 ＿＿＿를 믿으라 그리하면 너와 네 집이 구원을 받으리라,예수,주 예수를 믿으라 그리하면 너와 네 집이 구원을 받으리라,주일예배 (권영준 목사),"감옥의 간수가 바울에게 ""어떻게 해야 구원을 받나요?""라고 물었을 때 대답한 말이에요. 여기서 '믿으라'는 우리가 무언가를 잘해서 구원을 얻는 게 아니라, 십자가에서 죽고 다시 사신 주 예수님을 마음으로 받아들이라는 뜻이에요. '너와 네 집'은 나 한 사람만이 아니라 우리 가족까지라는 "
7,이벤트 출제,사도행전 16장 14절,＿＿＿ 그 마음을 열어 바울의 말을 따르게 하신지라,주께서,주께서 그 마음을 열어 바울의 말을 따르게 하신지라,마음을 여시는 하나님,"루디아라는 여인이 바울의 말을 듣고 그대로 따랐어요. 그런데 그렇게 되도록 그녀의 마음을 연 분은 바울도, 주변 사람도 아닌 바로 '주님'이셨어요. 여기서 '마음을 열어'는 꽉 닫혀 있던 마음문이 활짝 열려 하나님 말씀을 받아들이게 됐다는 뜻이에요. 사람의 마음문은 안에서만 잠기기에, "
8,이벤트 출제,누가복음 4장 8절,주 너의 ＿＿＿께 경배하고 다만 그를 섬기라,하나님,주 너의 하나님께 경배하고 다만 그를 섬기라,광야의 세 가지 질문,"예수님이 마귀에게 하신 대답이에요. 마귀는 절 한 번만 하면 온 세상 권력과 영광을 주겠다고 했지만, 예수님은 하나님 한 분만 높이고 섬기겠다고 하셨어요. 여기서 '경배'는 무릎 꿇고 높인다는 뜻이고, '다만'은 '오직 그분만'이라는 뜻이에요. 세상의 좋은 것보다 하나님 한 분으로 기뻐"
9,이벤트 출제,신명기 8장 6절,네 하나님 ＿＿＿의 명령을 지켜 그의 길을 따라가며 그를 경외할지니라,여호와,네 하나님 여호와의 명령을 지켜 그의 길을 따라가며 그를 경외할지니라,기억하고 선포하고 순종하라,"이 구절은 하나님을 사랑한다면 어떻게 살아야 하는지 세 가지로 알려 줘요. 명령을 지키고, 그의 길을 따라가고, 그를 경외하는 것이에요. 여기서 '그의 길을 따라간다'는 건 하나님이 걷게 하신 길을 신뢰하며 걷는다는 뜻이에요. 광야 40년처럼요. '경외하다'는 하나님을 무서워하는 게 아"
10,이벤트 출제,마가복음 12장 17절,가이사의 것은 ＿＿＿에게 하나님의 것은 하나님께 바치라,가이사,가이사의 것은 가이사에게 하나님의 것은 하나님께 바치라,아름다운 엉망진창,"사람들이 예수님을 곤란하게 하려고 ""세금을 내야 하나요?""라고 물었어요. 예수님은 동전에 황제의 얼굴이 새겨졌으니 황제 것은 황제에게 주라고 하셨어요. 여기서 '가이사'는 그 시대의 황제, 곧 세상 나라를 뜻해요. 하지만 우리 마음에는 하나님의 얼굴(형상)이 새겨져 있으니, 우리 자신은"
